sentence,word,label
Yeh wala design looks aesthetic and modern,wala,URD
Yeh wala design looks aesthetic and modern,design,ENG
Yeh wala design looks aesthetic and modern,looks,ENG
Yeh wala design looks aesthetic and modern,aesthetic,ENG
Yeh wala design looks aesthetic and modern,and,ENG
Yeh wala design looks aesthetic and modern,modern,ENG
Suno message check karo I sent you the file,Suno,URD
Suno message check karo I sent you the file,message,ENG
Suno message check karo I sent you the file,check,ENG
Suno message check karo I sent you the file,karo,URD
Suno message check karo I sent you the file,I,ENG
Suno message check karo I sent you the file,sent,ENG
Suno message check karo I sent you the file,you,ENG
Suno message check karo I sent you the file,the,ENG
Suno message check karo I sent you the file,file,ENG
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,It,ENG
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,is,ENG
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,so,ENG
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,hot,ENG
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,today,ENG
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,bilkul,URD
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,bahar,URD
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,nikalne,URD
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,ka,URD
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,dil,URD
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,nahi,URD
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,kar,URD
It is so hot today bilkul bahar nikalne ka dil nahi kar raha,raha,URD
Is code mein bug hai can you help me debug it,Is,URD
Is code mein bug hai can you help me debug it,code,ENG
Is code mein bug hai can you help me debug it,mein,URD
Is code mein bug hai can you help me debug it,bug,ENG
Is code mein bug hai can you help me debug it,hai,URD
Is code mein bug hai can you help me debug it,can,ENG
Is code mein bug hai can you help me debug it,you,ENG
Is code mein bug hai can you help me debug it,help,ENG
Is code mein bug hai can you help me debug it,me,ENG
Is code mein bug hai can you help me debug it,debug,ENG
Is code mein bug hai can you help me debug it,it,ENG
Chai break ka time ho gaya hai let us go outside,Chai,URD
Chai break ka time ho gaya hai let us go outside,break,ENG
Chai break ka time ho gaya hai let us go outside,ka,URD
Chai break ka time ho gaya hai let us go outside,time,ENG
Chai break ka time ho gaya hai let us go outside,ho,URD
Chai break ka time ho gaya hai let us go outside,gaya,URD
Chai break ka time ho gaya hai let us go outside,hai,URD
Chai break ka time ho gaya hai let us go outside,let,ENG
Chai break ka time ho gaya hai let us go outside,us,ENG
Chai break ka time ho gaya hai let us go outside,go,ENG
Chai break ka time ho gaya hai let us go outside,outside,ENG
Main kal shopping par ja rahi hoon with my sister,Main,URD
Main kal shopping par ja rahi hoon with my sister,kal,URD
Main kal shopping par ja rahi hoon with my sister,shopping,ENG
Main kal shopping par ja rahi hoon with my sister,par,URD
Main kal shopping par ja rahi hoon with my sister,ja,URD
Main kal shopping par ja rahi hoon with my sister,rahi,URD
Main kal shopping par ja rahi hoon with my sister,hoon,URD
Main kal shopping par ja rahi hoon with my sister,with,ENG
Main kal shopping par ja rahi hoon with my sister,my,ENG
Main kal shopping par ja rahi hoon with my sister,sister,ENG
Project ki deadline extend ho gayi hai what a relief,Project,ENG
Project ki deadline extend ho gayi hai what a relief,ki,URD
Project ki deadline extend ho gayi hai what a relief,deadline,ENG
Project ki deadline extend ho gayi hai what a relief,extend,ENG
Project ki deadline extend ho gayi hai what a relief,ho,URD
Project ki deadline extend ho gayi hai what a relief,gayi,URD
Project ki deadline extend ho gayi hai what a relief,hai,URD
Project ki deadline extend ho gayi hai what a relief,what,ENG
Project ki deadline extend ho gayi hai what a relief,a,ENG
Project ki deadline extend ho gayi hai what a relief,relief,ENG
Mera phone charge nahi ho raha check the cable,Mera,URD
Mera phone charge nahi ho raha check the cable,phone,ENG
Mera phone charge nahi ho raha check the cable,charge,ENG
Mera phone charge nahi ho raha check the cable,nahi,URD
Mera phone charge nahi ho raha check the cable,ho,URD
Mera phone charge nahi ho raha check the cable,raha,URD
Mera phone charge nahi ho raha check the cable,check,ENG
Mera phone charge nahi ho raha check the cable,the,ENG
Mera phone charge nahi ho raha check the cable,cable,ENG
Bhai this place serves the best biryani in town,Bhai,URD
Bhai this place serves the best biryani in town,this,ENG
Bhai this place serves the best biryani in town,place,ENG
Bhai this place serves the best biryani in town,serves,ENG
Bhai this place serves the best biryani in town,the,ENG
Bhai this place serves the best biryani in town,best,ENG
Bhai this place serves the best biryani in town,biryani,URD
Bhai this place serves the best biryani in town,in,ENG
Bhai this place serves the best biryani in town,town,ENG
Tumhara idea bohot brilliant tha I loved it,Tumhara,URD
Tumhara idea bohot brilliant tha I loved it,idea,ENG
Tumhara idea bohot brilliant tha I loved it,bohot,URD
Tumhara idea bohot brilliant tha I loved it,brilliant,ENG
Tumhara idea bohot brilliant tha I loved it,tha,URD
Tumhara idea bohot brilliant tha I loved it,I,ENG
Tumhara idea bohot brilliant tha I loved it,loved,ENG
Tumhara idea bohot brilliant tha I loved it,it,ENG
WiFi slow chal raha hai try reconnecting it,WiFi,ENG
WiFi slow chal raha hai try reconnecting it,slow,ENG
WiFi slow chal raha hai try reconnecting it,chal,URD
WiFi slow chal raha hai try reconnecting it,raha,URD
WiFi slow chal raha hai try reconnecting it,hai,URD
WiFi slow chal raha hai try reconnecting it,try,ENG
WiFi slow chal raha hai try reconnecting it,reconnecting,ENG
WiFi slow chal raha hai try reconnecting it,it,ENG
Aap late kyun ho gaye the traffic was terrible,Aap,URD
Aap late kyun ho gaye the traffic was terrible,late,ENG
Aap late kyun ho gaye the traffic was terrible,kyun,URD
Aap late kyun ho gaye the traffic was terrible,ho,URD
Aap late kyun ho gaye the traffic was terrible,gaye,URD
Aap late kyun ho gaye the traffic was terrible,the,URD
Aap late kyun ho gaye the traffic was terrible,traffic,ENG
Aap late kyun ho gaye the traffic was terrible,was,ENG
Aap late kyun ho gaye the traffic was terrible,terrible,ENG
Aaj raat ko online match khelein ge match starts at nine,Aaj,URD
Aaj raat ko online match khelein ge match starts at nine,raat,URD
Aaj raat ko online match khelein ge match starts at nine,ko,URD
Aaj raat ko online match khelein ge match starts at nine,online,ENG
Aaj raat ko online match khelein ge match starts at nine,match,ENG
Aaj raat ko online match khelein ge match starts at nine,khelein,URD
Aaj raat ko online match khelein ge match starts at nine,ge,URD
Aaj raat ko online match khelein ge match starts at nine,match,ENG
Aaj raat ko online match khelein ge match starts at nine,starts,ENG
Aaj raat ko online match khelein ge match starts at nine,at,ENG
Aaj raat ko online match khelein ge match starts at nine,nine,ENG
Mera exam bohot tough tha overall score bad aayega,Mera,URD
Mera exam bohot tough tha overall score bad aayega,exam,ENG
Mera exam bohot tough tha overall score bad aayega,bohot,URD
Mera exam bohot tough tha overall score bad aayega,tough,ENG
Mera exam bohot tough tha overall score bad aayega,tha,URD
Mera exam bohot tough tha overall score bad aayega,overall,ENG
Mera exam bohot tough tha overall score bad aayega,score,ENG
Mera exam bohot tough tha overall score bad aayega,bad,ENG
Mera exam bohot tough tha overall score bad aayega,aayega,URD
Bahar mausam bohot awesome hai let us go for a drive,Bahar,URD
Bahar mausam bohot awesome hai let us go for a drive,mausam,URD
Bahar mausam bohot awesome hai let us go for a drive,bohot,URD
Bahar mausam bohot awesome hai let us go for a drive,awesome,ENG
Bahar mausam bohot awesome hai let us go for a drive,hai,URD
Bahar mausam bohot awesome hai let us go for a drive,let,ENG
Bahar mausam bohot awesome hai let us go for a drive,us,ENG
Bahar mausam bohot awesome hai let us go for a drive,go,ENG
Bahar mausam bohot awesome hai let us go for a drive,for,ENG
Bahar mausam bohot awesome hai let us go for a drive,a,ENG
Bahar mausam bohot awesome hai let us go for a drive,drive,ENG
Is issue ka solution clear nahi hai need more research,Is,URD
Is issue ka solution clear nahi hai need more research,issue,ENG
Is issue ka solution clear nahi hai need more research,ka,URD
Is issue ka solution clear nahi hai need more research,solution,ENG
Is issue ka solution clear nahi hai need more research,clear,ENG
Is issue ka solution clear nahi hai need more research,nahi,URD
Is issue ka solution clear nahi hai need more research,hai,URD
Is issue ka solution clear nahi hai need more research,need,ENG
Is issue ka solution clear nahi hai need more research,more,ENG
Is issue ka solution clear nahi hai need more research,research,ENG
Bhai mujhe yeh shirt buy karni hai looks high quality,Bhai,URD
Bhai mujhe yeh shirt buy karni hai looks high quality,mujhe,URD
Bhai mujhe yeh shirt buy karni hai looks high quality,yeh,URD
Bhai mujhe yeh shirt buy karni hai looks high quality,shirt,ENG
Bhai mujhe yeh shirt buy karni hai looks high quality,buy,ENG
Bhai mujhe yeh shirt buy karni hai looks high quality,karni,URD
Bhai mujhe yeh shirt buy karni hai looks high quality,hai,URD
Bhai mujhe yeh shirt buy karni hai looks high quality,looks,ENG
Bhai mujhe yeh shirt buy karni hai looks high quality,high,ENG
Bhai mujhe yeh shirt buy karni hai looks high quality,quality,ENG
Aap ne mera message ignore kar diya why are you upset,Aap,URD
Aap ne mera message ignore kar diya why are you upset,ne,URD
Aap ne mera message ignore kar diya why are you upset,mera,URD
Aap ne mera message ignore kar diya why are you upset,message,ENG
Aap ne mera message ignore kar diya why are you upset,ignore,ENG
Aap ne mera message ignore kar diya why are you upset,kar,URD
Aap ne mera message ignore kar diya why are you upset,diya,URD
Aap ne mera message ignore kar diya why are you upset,why,ENG
Aap ne mera message ignore kar diya why are you upset,are,ENG
Aap ne mera message ignore kar diya why are you upset,you,ENG
Aap ne mera message ignore kar diya why are you upset,upset,ENG
Kal subah early morning gym jana hai so sleep early,Kal,URD
Kal subah early morning gym jana hai so sleep early,subah,URD
Kal subah early morning gym jana hai so sleep early,early,ENG
Kal subah early morning gym jana hai so sleep early,morning,ENG
Kal subah early morning gym jana hai so sleep early,gym,ENG
Kal subah early morning gym jana hai so sleep early,jana,URD
Kal subah early morning gym jana hai so sleep early,hai,URD
Kal subah early morning gym jana hai so sleep early,so,ENG
Kal subah early morning gym jana hai so sleep early,sleep,ENG
Kal subah early morning gym jana hai so sleep early,early,ENG
Yeh song bohot catchy hai playing on loop,Yeh,URD
Yeh song bohot catchy hai playing on loop,song,ENG
Yeh song bohot catchy hai playing on loop,bohot,URD
Yeh song bohot catchy hai playing on loop,catchy,ENG
Yeh song bohot catchy hai playing on loop,hai,URD
Yeh song bohot catchy hai playing on loop,playing,ENG
Yeh song bohot catchy hai playing on loop,on,ENG
Yeh song bohot catchy hai playing on loop,loop,ENG
Unka customer support is hopeless response nahi deta,Unka,URD
Unka customer support is hopeless response nahi deta,customer,ENG
Unka customer support is hopeless response nahi deta,support,ENG
Unka customer support is hopeless response nahi deta,is,ENG
Unka customer support is hopeless response nahi deta,hopeless,ENG
Unka customer support is hopeless response nahi deta,response,ENG
Unka customer support is hopeless response nahi deta,nahi,URD
Unka customer support is hopeless response nahi deta,deta,URD
Mujhe naya phone lena hai suggestion do fast,Mujhe,URD
Mujhe naya phone lena hai suggestion do fast,naya,URD
Mujhe naya phone lena hai suggestion do fast,phone,ENG
Mujhe naya phone lena hai suggestion do fast,lena,URD
Mujhe naya phone lena hai suggestion do fast,hai,URD
Mujhe naya phone lena hai suggestion do fast,suggestion,ENG
Mujhe naya phone lena hai suggestion do fast,do,URD
Mujhe naya phone lena hai suggestion do fast,fast,ENG
Is resturant ki service super slow thi delay script ho gaya,Is,URD
Is resturant ki service super slow thi delay script ho gaya,resturant,ENG
Is resturant ki service super slow thi delay script ho gaya,ki,URD
Is resturant ki service super slow thi delay script ho gaya,service,ENG
Is resturant ki service super slow thi delay script ho gaya,super,ENG
Is resturant ki service super slow thi delay script ho gaya,slow,ENG
Is resturant ki service super slow thi delay script ho gaya,thi,URD
Is resturant ki service super slow thi delay script ho gaya,delay,ENG
Is resturant ki service super slow thi delay script ho gaya,script,ENG
Is resturant ki service super slow thi delay script ho gaya,ho,URD
Is resturant ki service super slow thi delay script ho gaya,gaya,URD
Kal mera result aane wala hai feeling so nervous,Kal,URD
Kal mera result aane wala hai feeling so nervous,mera,URD
Kal mera result aane wala hai feeling so nervous,result,ENG
Kal mera result aane wala hai feeling so nervous,aane,URD
Kal mera result aane wala hai feeling so nervous,wala,URD
Kal mera result aane wala hai feeling so nervous,hai,URD
Kal mera result aane wala hai feeling so nervous,feeling,ENG
Kal mera result aane wala hai feeling so nervous,so,ENG
Kal mera result aane wala hai feeling so nervous,nervous,ENG
Gari mein fuel khatam hone wala hai find nearest station,Gari,URD
Gari mein fuel khatam hone wala hai find nearest station,mein,URD
Gari mein fuel khatam hone wala hai find nearest station,fuel,ENG
Gari mein fuel khatam hone wala hai find nearest station,khatam,URD
Gari mein fuel khatam hone wala hai find nearest station,hone,URD
Gari mein fuel khatam hone wala hai find nearest station,wala,URD
Gari mein fuel khatam hone wala hai find nearest station,hai,URD
Gari mein fuel khatam hone wala hai find nearest station,find,ENG
Gari mein fuel khatam hone wala hai find nearest station,nearest,ENG
Gari mein fuel khatam hone wala hai find nearest station,station,ENG
Main aap se later contact karta hoon currently in meeting,Main,URD
Main aap se later contact karta hoon currently in meeting,aap,URD
Main aap se later contact karta hoon currently in meeting,se,URD
Main aap se later contact karta hoon currently in meeting,later,ENG
Main aap se later contact karta hoon currently in meeting,contact,ENG
Main aap se later contact karta hoon currently in meeting,karta,URD
Main aap se later contact karta hoon currently in meeting,hoon,URD
Main aap se later contact karta hoon currently in meeting,currently,ENG
Main aap se later contact karta hoon currently in meeting,in,ENG
Main aap se later contact karta hoon currently in meeting,meeting,ENG
Yaar tension na lo God will fix everything soon,Yaar,URD
Yaar tension na lo God will fix everything soon,tension,ENG
Yaar tension na lo God will fix everything soon,na,URD
Yaar tension na lo God will fix everything soon,lo,URD
Yaar tension na lo God will fix everything soon,God,ENG
Yaar tension na lo God will fix everything soon,will,ENG
Yaar tension na lo God will fix everything soon,fix,ENG
Yaar tension na lo God will fix everything soon,everything,ENG
Yaar tension na lo God will fix everything soon,soon,ENG
Yeh color combination looks weird change it please,Yeh,URD
Yeh color combination looks weird change it please,color,ENG
Yeh color combination looks weird change it please,combination,ENG
Yeh color combination looks weird change it please,looks,ENG
Yeh color combination looks weird change it please,weird,ENG
Yeh color combination looks weird change it please,change,ENG
Yeh color combination looks weird change it please,it,ENG
Yeh color combination looks weird change it please,please,ENG
Mera order deliver nahi hua order status is pending,Mera,URD
Mera order deliver nahi hua order status is pending,order,ENG
Mera order deliver nahi hua order status is pending,deliver,ENG
Mera order deliver nahi hua order status is pending,nahi,URD
Mera order deliver nahi hua order status is pending,hua,URD
Mera order deliver nahi hua order status is pending,order,ENG
Mera order deliver nahi hua order status is pending,status,ENG
Mera order deliver nahi hua order status is pending,is,ENG
Mera order deliver nahi hua order status is pending,pending,ENG
Tumhara presentation style bohot impressive tha keep it up,Tumhara,URD
Tumhara presentation style bohot impressive tha keep it up,presentation,ENG
Tumhara presentation style bohot impressive tha keep it up,style,ENG
Tumhara presentation style bohot impressive tha keep it up,bohot,URD
Tumhara presentation style bohot impressive tha keep it up,impressive,ENG
Tumhara presentation style bohot impressive tha keep it up,tha,URD
Tumhara presentation style bohot impressive tha keep it up,keep,ENG
Tumhara presentation style bohot impressive tha keep it up,it,ENG
Tumhara presentation style bohot impressive tha keep it up,up,ENG
Khaana bohot spicy tha my mouth is burning,Khaana,URD
Khaana bohot spicy tha my mouth is burning,bohot,URD
Khaana bohot spicy tha my mouth is burning,spicy,ENG
Khaana bohot spicy tha my mouth is burning,tha,URD
Khaana bohot spicy tha my mouth is burning,my,ENG
Khaana bohot spicy tha my mouth is burning,mouth,ENG
Khaana bohot spicy tha my mouth is burning,is,ENG
Khaana bohot spicy tha my mouth is burning,burning,ENG
Aap ne location send ki hai I am following map,Aap,URD
Aap ne location send ki hai I am following map,ne,URD
Aap ne location send ki hai I am following map,location,ENG
Aap ne location send ki hai I am following map,send,ENG
Aap ne location send ki hai I am following map,ki,URD
Aap ne location send ki hai I am following map,hai,URD
Aap ne location send ki hai I am following map,I,ENG
Aap ne location send ki hai I am following map,am,ENG
Aap ne location send ki hai I am following map,following,ENG
Aap ne location send ki hai I am following map,map,ENG
Yeh project team effort tha everyone worked hard,Yeh,URD
Yeh project team effort tha everyone worked hard,project,ENG
Yeh project team effort tha everyone worked hard,team,ENG
Yeh project team effort tha everyone worked hard,effort,ENG
Yeh project team effort tha everyone worked hard,tha,URD
Yeh project team effort tha everyone worked hard,everyone,ENG
Yeh project team effort tha everyone worked hard,worked,ENG
Yeh project team effort tha everyone worked hard,hard,ENG
Main ne insta story post kar di check it out,Main,URD
Main ne insta story post kar di check it out,ne,URD
Main ne insta story post kar di check it out,insta,ENG
Main ne insta story post kar di check it out,story,ENG
Main ne insta story post kar di check it out,post,ENG
Main ne insta story post kar di check it out,kar,URD
Main ne insta story post kar di check it out,di,URD
Main ne insta story post kar di check it out,check,ENG
Main ne insta story post kar di check it out,it,ENG
Main ne insta story post kar di check it out,out,ENG
Is saal thand bohot zyada hai weather is freezing,Is,URD
Is saal thand bohot zyada hai weather is freezing,saal,URD
Is saal thand bohot zyada hai weather is freezing,thand,URD
Is saal thand bohot zyada hai weather is freezing,bohot,URD
Is saal thand bohot zyada hai weather is freezing,zyada,URD
Is saal thand bohot zyada hai weather is freezing,hai,URD
Is saal thand bohot zyada hai weather is freezing,weather,ENG
Is saal thand bohot zyada hai weather is freezing,is,ENG
Is saal thand bohot zyada hai weather is freezing,freezing,ENG
Mera subscription expire ho gaya hai need to renew,Mera,URD
Mera subscription expire ho gaya hai need to renew,subscription,ENG
Mera subscription expire ho gaya hai need to renew,expire,ENG
Mera subscription expire ho gaya hai need to renew,ho,URD
Mera subscription expire ho gaya hai need to renew,gaya,URD
Mera subscription expire ho gaya hai need to renew,hai,URD
Mera subscription expire ho gaya hai need to renew,need,ENG
Mera subscription expire ho gaya hai need to renew,to,ENG
Mera subscription expire ho gaya hai need to renew,renew,ENG
Aap ka resume shortlisted ho gaya hai expect a call,Aap,URD
Aap ka resume shortlisted ho gaya hai expect a call,ka,URD
Aap ka resume shortlisted ho gaya hai expect a call,resume,ENG
Aap ka resume shortlisted ho gaya hai expect a call,shortlisted,ENG
Aap ka resume shortlisted ho gaya hai expect a call,ho,URD
Aap ka resume shortlisted ho gaya hai expect a call,gaya,URD
Aap ka resume shortlisted ho gaya hai expect a call,hai,URD
Aap ka resume shortlisted ho gaya hai expect a call,expect,ENG
Aap ka resume shortlisted ho gaya hai expect a call,a,ENG
Aap ka resume shortlisted ho gaya hai expect a call,call,ENG
Yeh coffee bohot strong hai my brain woke up,Yeh,URD
Yeh coffee bohot strong hai my brain woke up,coffee,ENG
Yeh coffee bohot strong hai my brain woke up,bohot,URD
Yeh coffee bohot strong hai my brain woke up,strong,ENG
Yeh coffee bohot strong hai my brain woke up,hai,URD
Yeh coffee bohot strong hai my brain woke up,my,ENG
Yeh coffee bohot strong hai my brain woke up,brain,ENG
Yeh coffee bohot strong hai my brain woke up,woke,ENG
Yeh coffee bohot strong hai my brain woke up,up,ENG
Bhai drive carefully road par hazard hai,Bhai,URD
Bhai drive carefully road par hazard hai,drive,ENG
Bhai drive carefully road par hazard hai,carefully,ENG
Bhai drive carefully road par hazard hai,road,ENG
Bhai drive carefully road par hazard hai,par,URD
Bhai drive carefully road par hazard hai,hazard,ENG
Bhai drive carefully road par hazard hai,hai,URD
Main ne update install kar liya hai app is smooth now,Main,URD
Main ne update install kar liya hai app is smooth now,ne,URD
Main ne update install kar liya hai app is smooth now,update,ENG
Main ne update install kar liya hai app is smooth now,install,ENG
Main ne update install kar liya hai app is smooth now,kar,URD
Main ne update install kar liya hai app is smooth now,liya,URD
Main ne update install kar liya hai app is smooth now,hai,URD
Main ne update install kar liya hai app is smooth now,app,ENG
Main ne update install kar liya hai app is smooth now,is,ENG
Main ne update install kar liya hai app is smooth now,smooth,ENG
Main ne update install kar liya hai app is smooth now,now,ENG
Aaj raat dinner bahar se order karte hain tired of cooking,Aaj,URD
Aaj raat dinner bahar se order karte hain tired of cooking,raat,URD
Aaj raat dinner bahar se order karte hain tired of cooking,dinner,ENG
Aaj raat dinner bahar se order karte hain tired of cooking,bahar,URD
Aaj raat dinner bahar se order karte hain tired of cooking,se,URD
Aaj raat dinner bahar se order karte hain tired of cooking,order,ENG
Aaj raat dinner bahar se order karte hain tired of cooking,karte,URD
Aaj raat dinner bahar se order karte hain tired of cooking,hain,URD
Aaj raat dinner bahar se order karte hain tired of cooking,tired,ENG
Aaj raat dinner bahar se order karte hain tired of cooking,of,ENG
Aaj raat dinner bahar se order karte hain tired of cooking,cooking,ENG
Yeh dialogue bohot iconic tha crowd went wild,Yeh,URD
Yeh dialogue bohot iconic tha crowd went wild,dialogue,ENG
Yeh dialogue bohot iconic tha crowd went wild,bohot,URD
Yeh dialogue bohot iconic tha crowd went wild,iconic,ENG
Yeh dialogue bohot iconic tha crowd went wild,tha,URD
Yeh dialogue bohot iconic tha crowd went wild,crowd,ENG
Yeh dialogue bohot iconic tha crowd went wild,went,ENG
Yeh dialogue bohot iconic tha crowd went wild,wild,ENG
Apna password share mat karna security breach ho jaye ga,Apna,URD
Apna password share mat karna security breach ho jaye ga,password,ENG
Apna password share mat karna security breach ho jaye ga,share,ENG
Apna password share mat karna security breach ho jaye ga,mat,URD
Apna password share mat karna security breach ho jaye ga,karna,URD
Apna password share mat karna security breach ho jaye ga,security,ENG
Apna password share mat karna security breach ho jaye ga,breach,ENG
Apna password share mat karna security breach ho jaye ga,ho,URD
Apna password share mat karna security breach ho jaye ga,jaye,URD
Apna password share mat karna security breach ho jaye ga,ga,URD
